Number of Stations, Mean Packet Duration, Packet Arrival Rate, Attempts, G, Mean Backoff duration, Number of collision, Throughput, Theo Throughput, Mean Delay, 
5, 1, 0.300000, 13967070, 1.320926, 3.000000, 12967001, 0.094574, 0.094089, 3619729.889395, 
5, 1, 0.310000, 13966814, 1.320938, 3.000000, 12966743, 0.094577, 0.094087, 3673578.352783, 
5, 1, 0.350000, 13969083, 1.320861, 3.000000, 12969019, 0.094556, 0.094096, 3859048.226530, 
5, 1, 0.500000, 13967454, 1.320937, 3.000000, 12967404, 0.094573, 0.094087, 4286386.352091, 
5, 1, 0.700000, 13966449, 1.320937, 3.000000, 12966389, 0.094579, 0.094087, 4572754.145433, 
5, 1, 0.300000, 5000670, 0.999920, 5.000000, 4000645, 0.199957, 0.135346, 833797.863157, 
5, 1, 0.310000, 5001039, 0.999983, 5.000000, 4001012, 0.199955, 0.135338, 888791.263695, 
5, 1, 0.350000, 5004037, 0.999856, 5.000000, 4004013, 0.199810, 0.135355, 1074647.267166, 
5, 1, 0.500000, 5003819, 0.999808, 5.000000, 4003789, 0.199809, 0.135361, 1502664.310097, 
5, 1, 0.700000, 4999927, 1.000039, 5.000000, 3999898, 0.200011, 0.135330, 1786179.020071, 
5, 1, 0.300000, 3199435, 0.860241, 7.000000, 2199416, 0.268873, 0.153966, 193454.474891, 
5, 1, 0.310000, 3199366, 0.860219, 7.000000, 2199350, 0.268872, 0.153969, 246677.791404, 
5, 1, 0.350000, 3199817, 0.860256, 7.000000, 2199800, 0.268846, 0.153964, 430987.858138, 
5, 1, 0.500000, 3200766, 0.860150, 7.000000, 2200746, 0.268733, 0.153978, 860685.511651, 
5, 1, 0.700000, 3200921, 0.860121, 7.000000, 2200904, 0.268711, 0.153981, 1147086.725922, 
10, 1, 0.300000, 34668339, 1.707655, 5.000000, 33667938, 0.049257, 0.056124, 8482308.095721, 
10, 1, 0.310000, 34675993, 1.707643, 5.000000, 33675651, 0.049246, 0.056125, 8543008.828371, 
10, 1, 0.350000, 34665396, 1.707668, 5.000000, 33665085, 0.049261, 0.056123, 8724676.718111, 
10, 1, 0.500000, 34667406, 1.707642, 5.000000, 33667100, 0.049258, 0.056125, 9150450.090597, 
10, 1, 0.700000, 34687982, 1.707705, 5.000000, 33687612, 0.049230, 0.056120, 9444372.641781, 
10, 1, 0.300000, 6040305, 1.070165, 10.000000, 5040233, 0.177171, 0.125869, 1156532.604031, 
10, 1, 0.310000, 6037459, 1.070179, 10.000000, 5037390, 0.177257, 0.125867, 1207812.917937, 
10, 1, 0.350000, 6037810, 1.070193, 10.000000, 5037730, 0.177249, 0.125865, 1393376.643440, 
10, 1, 0.500000, 6039284, 1.070267, 10.000000, 5039204, 0.177218, 0.125855, 1821441.323759, 
10, 1, 0.700000, 6037859, 1.070201, 10.000000, 5037788, 0.177249, 0.125864, 2106430.985033, 
10, 1, 0.300000, 2392257, 0.717761, 20.000000, 1392224, 0.300034, 0.170821, 442.353097, 
10, 1, 0.310000, 2474528, 0.766186, 20.000000, 1474491, 0.309629, 0.165513, 4214.531789, 
10, 1, 0.350000, 2484370, 0.772218, 20.000000, 1484332, 0.310831, 0.164816, 180710.489005, 
10, 1, 0.500000, 2484180, 0.772322, 20.000000, 1484143, 0.310896, 0.164804, 608751.048803, 
10, 1, 0.700000, 2483989, 0.772304, 20.000000, 1483956, 0.310913, 0.164806, 894127.499135, 
