Number of Stations, Mean Packet Duration, Packet Arrival Rate, G, Mean Backoff duration, Number of collision, Throughput, Mean Delay, ,Number of Stations, Mean Packet Duration, Packet Arrival Rate, Attempts, G, Mean Backoff duration, Number of collision, Throughput, Theo Throughput, Mean Delay
10,1,0.01,0.010245,5,23805,0.010007,1.144283, ,10,1,0.01,1023805,0.010245,5,23805,0.010007,0.010037,1.144283
10,1,0.03,0.032372,5,78363,0.030019,1.481481, ,10,1,0.03,1078363,0.032372,5,78363,0.030019,0.030342,1.481481
10,1,0.05,0.057248,5,144384,0.050025,1.903984, ,10,1,0.05,1144384,0.057248,5,144384,0.050025,0.051054,1.903984
10,1,0.08,0.379946,5,5015457,0.074786,327132.6223, ,10,1,0.08,6015558,0.374742,5,5015457,0.074786,0.177107,327132.6223
10,1,0.1,1.709048,5,31703963,0.050773,4558610.107, ,10,1,0.1,32704323,1.659812,5,31703963,0.050773,0.060029,4558610.107
10,1,0.15,1.808221,5,33654008,0.049272,6812859.435, ,10,1,0.13,34589837,1.706277,5,33589541,0.049329,0.056234,6273863.893
10,1,0.19,1.848414,5,33657620,0.049271,7513297.796, ,10,1,0.18,34671938,1.707666,5,33671590,0.049252,0.056123,7373058.942
10,1,0.2,1.858415,5,33661148,0.049267,7653824.659, ,10,1,0.22,34648790,1.707682,5,33648482,0.049286,0.056122,7872988.195
10,1,0.3,1.958403,5,33667938,0.049257,8482308.096, ,10,1,0.24,34668891,1.707688,5,33668498,0.049257,0.056122,8068424.042
10,1,0.35,2.008435,5,33665085,0.049261,8724676.718, ,10,1,0.28,34663459,1.707693,5,33663099,0.049265,0.056121,8363616.022
10,1,0.01,0.010214,10,20818,0.010005,1.231407, ,10,1,0.3,34668339,1.707655,5,33667938,0.049257,0.056124,8482308.096
10,1,0.03,0.032026,10,67126,0.030012,1.763058, ,10,1,0.31,34675993,1.707643,5,33675651,0.049246,0.056125,8543008.828
10,1,0.05,0.05605,10,120247,0.050034,2.398309, ,10,1,0.35,34665396,1.707668,5,33665085,0.049261,0.056123,8724676.718
10,1,0.08,0.097336,10,216369,0.080021,3.63371, ,10,1,0.5,34667406,1.707642,5,33667100,0.049258,0.056125,9150450.091
10,1,0.1,0.129761,10,296502,0.100085,4.741512, ,10,1,0.7,34687982,1.707705,5,33687612,0.04923,0.05612,9444372.642
10,1,0.15,0.239267,10,594626,0.150046,9.731635, ,10,1,0.01,1020818,0.010214,10,20818,0.010005,0.010007,1.231407
10,1,0.19,0.92155,10,4065778,0.180369,113277.8658, ,10,1,0.03,1067126,0.032026,10,67126,0.030012,0.030039,1.763058
10,1,0.2,1.088387,10,5007792,0.177386,316879.5068, ,10,1,0.05,1120248,0.05605,10,120247,0.050034,0.050106,2.398309
10,1,0.3,1.193121,10,5040233,0.177171,1156532.604, ,10,1,0.08,1216370,0.097336,10,216369,0.080021,0.080117,3.63371
10,1,0.35,1.242957,10,5037730,0.177249,1393376.643, ,10,1,0.1,1296502,0.129761,10,296502,0.100085,0.1001,4.741512
10,1,0.01,0.010198,20,19518,0.010003,1.417566, ,10,1,0.13,1451769,0.188727,10,451768,0.129998,0.129392,7.141471
10,1,0.03,0.031894,20,62441,0.03002,2.380454, ,10,1,0.18,1950471,0.351209,10,950470,0.180064,0.173984,18.891523
10,1,0.05,0.055538,20,110282,0.050021,3.535393, ,10,1,0.22,6038700,1.069921,10,5038621,0.177178,0.125901,549072.3833
10,1,0.08,0.0955,20,193296,0.08003,5.755151, ,10,1,0.24,6039198,1.070134,10,5039136,0.177198,0.125873,739020.4401
10,1,0.1,0.125683,20,256573,0.10002,7.644534, ,10,1,0.28,6038503,1.070136,10,5038430,0.177219,0.125872,1036996.645
10,1,0.15,0.217444,20,449377,0.150026,14.787909, ,10,1,0.3,6040305,1.070165,10,5040233,0.177171,0.125869,1156532.604
10,1,0.19,0.312795,20,646249,0.190004,25.241658, ,10,1,0.31,6037459,1.070179,10,5037390,0.177257,0.125867,1207812.918
10,1,0.2,0.34038,20,700485,0.200165,29.006221, ,10,1,0.35,6037810,1.070193,10,5037730,0.177249,0.125865,1393376.643
10,1,0.3,0.717788,20,1392224,0.300034,442.353097, ,10,1,0.5,6039284,1.070267,10,5039204,0.177218,0.125855,1821441.324
10,1,0.35,0.811564,20,1484332,0.310831,180710.489, ,10,1,0.7,6037859,1.070201,10,5037788,0.177249,0.125864,2106430.985
,,,,,,,,,10,1,0.01,1019518,0.010198,20,19518,0.010003,0.009992,1.417566
,,,,,,,,,10,1,0.03,1062441,0.031894,20,62441,0.03002,0.029923,2.380454
,,,,,,,,,10,1,0.05,1110282,0.055538,20,110282,0.050021,0.049699,3.535393
,,,,,,,,,10,1,0.08,1193296,0.0955,20,193296,0.08003,0.078895,5.755151
,,,,,,,,,10,1,0.1,1256573,0.125683,20,256573,0.10002,0.097748,7.644534
,,,,,,,,,10,1,0.13,1366077,0.177696,20,366076,0.130077,0.124547,11.404906
,,,,,,,,,10,1,0.18,1591337,0.286401,20,591334,0.179975,0.161514,21.913716
,,,,,,,,,10,1,0.22,1819859,0.400568,20,819854,0.220109,0.179782,39.247452
,,,,,,,,,10,1,0.24,1947959,0.467638,20,947949,0.240065,0.183537,55.105544
,,,,,,,,,10,1,0.28,2230903,0.624667,20,1230885,0.280006,0.179089,145.418006
,,,,,,,,,10,1,0.3,2392257,0.717761,20,1392224,0.300034,0.170821,442.353097
,,,,,,,,,10,1,0.31,2474528,0.766186,20,1474491,0.309629,0.165513,4214.531789
,,,,,,,,,10,1,0.35,2484370,0.772218,20,1484332,0.310831,0.164816,180710.489
,,,,,,,,,10,1,0.5,2484180,0.772322,20,1484143,0.310896,0.164804,608751.0488
,,,,,,,,,10,1,0.7,2483989,0.772304,20,1483956,0.310913,0.164806,894127.4991
