Number of Stations, Mean Packet Duration, Packet Arrival Rate, G, Mean Backoff duration, Number of collision, Throughput, Mean Delay, 
10,1,0.01,0.010243,5,23780,0.010005,1.14422, 
10,1,0.02,0.021005,5,49837,0.020008,1.303972, 
10,1,0.03,0.032364,5,78219,0.030016,1.480627, 
10,1,0.04,0.044426,5,109662,0.040036,1.679528,
10,1,0.05,0.057248,5,144458,0.050022,1.904583,
10,1,0.06,0.071085,5,183984,0.060039,2.166751,
10,1,0.07,0.086098,5,229534,0.070025,2.476043,
10,1,0.08,0.379961,5,5015304,0.074808,327132.6174,
10,1,0.01,0.010214,10,20819,0.010005,1.231654,
10,1,0.03,0.032024,10,67058,0.030012,1.762318,
10,1,0.05,0.056053,10,120298,0.050034,2.399435,
10,1,0.07,0.082735,10,181457,0.070028,3.172042,
10,1,0.09,0.112873,10,253887,0.090018,4.141085,
10,1,0.1,0.129788,10,296733,0.100088,4.74586,
10,1,0.15,0.239356,10,595094,0.150057,9.740377,
10,1,0.19,0.937347,10,4157924,0.180056,118255.3941,
10,1,0.01,0.010199,20,19580,0.010003,1.419128,
10,1,0.2,0.340441,20,700677,0.200179,29.017692,
10,1,0.3,0.71745,20,1391236,0.300017,437.639058,
10,1,0.35,0.811603,20,1483843,0.310919,180405.035,
10,1,0.4,0.861641,20,1484151,0.310944,358480.5929,
10,1,0.45,0.911407,20,1484419,0.310827,497431.416,
10,1,0.5,0.961446,20,1483780,0.310955,608290.5271,
10,1,0.51,0.971443,20,1483743,0.310919,627856.1292,
