Number of Stations, Mean Packet Duration, Packet Arrival Rate, Attempts, G, Mean Backoff duration, Number of collision, Throughput, Theo Throughput, Mean Delay
5,1,0.01,1025359,0.01026,3,25359,0.010006,0.010051,1.103568
5,1,0.03,1084860,0.032554,3,84860,0.030008,0.030502,1.355647
5,1,0.05,1160150,0.058038,3,160150,0.050026,0.051678,1.695795
5,1,0.08,1321758,0.105786,3,321757,0.080034,0.085614,2.542361
5,1,0.1,1533853,0.153395,3,533853,0.100006,0.112869,4.777404
5,1,0.13,13927177,1.318225,3,12927124,0.094652,0.094405,1431406.253
5,1,0.18,13967641,1.320879,3,12967579,0.094567,0.094094,2508962.399
5,1,0.22,13967641,1.320879,3,12967579,0.094567,0.094094,2508962.399
5,1,0.24,13967641,1.320879,3,12967579,0.094567,0.094094,2508962.399
5,1,0.28,13967641,1.320879,3,12967579,0.094567,0.094094,2508962.399
5,1,0.3,13967641,1.320879,3,12967579,0.094567,0.094094,2508962.399
5,1,0.31,13967641,1.320879,3,12967579,0.094567,0.094094,2508962.399
5,1,0.01,1021019,0.010217,5,21019,0.010007,0.010011,1.128679
5,1,0.03,1067706,0.032051,5,67706,0.030018,0.030061,1.426037
5,1,0.05,1121274,0.056097,5,121274,0.050029,0.050143,1.788942
5,1,0.08,1219450,0.097586,5,219450,0.080025,0.080284,2.516774
5,1,0.1,1300402,0.130084,5,300401,0.100034,0.100285,3.188177
5,1,0.13,1455417,0.189227,5,455416,0.130016,0.129605,4.688135
5,1,0.18,1920975,0.345866,5,920971,0.180047,0.173178,12.113785
5,1,0.22,4995714,0.99906,5,3995678,0.199984,0.135462,225954.6206
5,1,0.24,5004364,0.999765,5,4004339,0.199779,0.135367,420094.8037
5,1,0.28,5002992,0.999856,5,4002969,0.199852,0.135355,717390.2696
5,1,0.3,5000670,0.99992,5,4000645,0.199957,0.135346,833797.8632
5,1,0.31,5001039,0.999983,5,4001012,0.199955,0.135338,888791.2637
5,1,0.01,1019460,0.010202,7,19460,0.010007,0.009996,1.158943
5,1,0.03,1062117,0.031871,7,62117,0.030007,0.029902,1.523902
5,1,0.05,1109920,0.055524,7,109920,0.050026,0.049689,1.961464
5,1,0.08,1193418,0.095515,7,193417,0.080035,0.078906,2.806999
5,1,0.1,1258373,0.125894,7,258372,0.100045,0.097871,3.5396
5,1,0.13,1374182,0.178666,7,374182,0.130016,0.124984,5.039866
5,1,0.18,1635247,0.29437,7,635245,0.180016,0.163383,9.660438
5,1,0.22,1947718,0.428645,7,947711,0.220075,0.181879,19.078952
5,1,0.24,2173466,0.521627,7,1173457,0.239997,0.183773,31.317543
5,1,0.28,3197518,0.860085,7,2197500,0.268986,0.153986,73753.15643
5,1,0.3,3199435,0.860241,7,2199416,0.268873,0.153966,193454.4749
5,1,0.31,3199366,0.860219,7,2199350,0.268872,0.153969,246677.7914
10,1,0.01,1023805,0.010245,5,23805,0.010007,0.010037,1.144283
10,1,0.03,1078363,0.032372,5,78363,0.030019,0.030342,1.481481
10,1,0.05,1144384,0.057248,5,144384,0.050025,0.051054,1.903984
10,1,0.08,6015558,0.374742,5,5015457,0.074786,0.177107,327132.6223
10,1,0.1,32704323,1.659812,5,31703963,0.050773,0.060029,4558610.107
10,1,0.13,34589837,1.706277,5,33589541,0.049329,0.056234,6273863.893
10,1,0.18,34589837,1.706277,5,33589541,0.049329,0.056234,6273863.893
10,1,0.22,34589837,1.706277,5,33589541,0.049329,0.056234,6273863.893
10,1,0.24,34589837,1.706277,5,33589541,0.049329,0.056234,6273863.893
10,1,0.28,34589837,1.706277,5,33589541,0.049329,0.056234,6273863.893
10,1,0.3,34589837,1.706277,5,33589541,0.049329,0.056234,6273863.893
10,1,0.31,34589837,1.706277,5,33589541,0.049329,0.056234,6273863.893
10,1,0.01,1020818,0.010214,10,20818,0.010005,0.010007,1.231407
10,1,0.03,1067126,0.032026,10,67126,0.030012,0.030039,1.763058
10,1,0.05,1120248,0.05605,10,120247,0.050034,0.050106,2.398309
10,1,0.08,1216370,0.097336,10,216369,0.080021,0.080117,3.63371
10,1,0.1,1296502,0.129761,10,296502,0.100085,0.1001,4.741512
10,1,0.13,1451769,0.188727,10,451768,0.129998,0.129392,7.141471
10,1,0.18,1950471,0.351209,10,950470,0.180064,0.173984,18.891523
10,1,0.22,6038700,1.069921,10,5038621,0.177178,0.125901,549072.3833
10,1,0.24,6039198,1.070134,10,5039136,0.177198,0.125873,739020.4401
10,1,0.28,6038503,1.070136,10,5038430,0.177219,0.125872,1036996.645
10,1,0.3,6040305,1.070165,10,5040233,0.177171,0.125869,1156532.604
10,1,0.31,6037459,1.070179,10,5037390,0.177257,0.125867,1207812.918
10,1,0.01,1019518,0.010198,20,19518,0.010003,0.009992,1.417566
10,1,0.03,1062441,0.031894,20,62441,0.03002,0.029923,2.380454
10,1,0.05,1110282,0.055538,20,110282,0.050021,0.049699,3.535393
10,1,0.08,1193296,0.0955,20,193296,0.08003,0.078895,5.755151
10,1,0.1,1256573,0.125683,20,256573,0.10002,0.097748,7.644534
10,1,0.13,1366077,0.177696,20,366076,0.130077,0.124547,11.404906
10,1,0.18,1591337,0.286401,20,591334,0.179975,0.161514,21.913716
10,1,0.22,1819859,0.400568,20,819854,0.220109,0.179782,39.247452
10,1,0.24,1947959,0.467638,20,947949,0.240065,0.183537,55.105544
10,1,0.28,2230903,0.624667,20,1230885,0.280006,0.179089,145.418006
10,1,0.3,2392257,0.717761,20,1392224,0.300034,0.170821,442.353097
10,1,0.31,2474528,0.766186,20,1474491,0.309629,0.165513,4214.531789
