Number of Stations, Mean Packet Duration, Packet Arrival Rate, Throughput, Mean Delay, 
1, 0.000000, 0.100000, 0.099937, 1.055008, 
1, 0.000000, 0.200000, 0.199873, 1.123933, 
1, 0.000000, 0.300000, 0.299809, 1.212730, 
1, 0.000000, 0.400000, 0.399745, 1.331353, 
1, 0.000000, 0.500000, 0.499679, 1.498352, 
1, 0.000000, 0.600000, 0.599613, 1.749542, 
1, 0.000000, 0.700000, 0.699543, 2.166605, 
1, 0.000000, 1.000000, 0.996774, 114.727087, 
1, 0.000000, 5.000000, 1.000000, 27994.145285, 
1, 0.000000, 10.000000, 1.000000, 31497.322642, 
