Number of Stations, Mean Packet Duration, Packet Arrival Rate, Attempts, G, Number of collision, Throughput (based on G), Throughput (experimental), Mean Delay, sim time,,,,,
5,1,0.01,103605,0.010339,3605,0.010128,0.009979,1.120208,10020779.14,,,,0.010128,1.120208
5,1,0.1,146273,0.146116,46272,0.109089,0.099892,4.156682,1001089.186,,,,0.109089,4.156682
5,1,0.15,174240,0.261187,74239,0.154913,0.1499,21.057355,667116.4522,,,,0.154913,21.057355
5,1,0.19,185679,0.35226,85668,0.174138,0.189712,482.340788,527120.1201,,,,0.174138,482.340788
5,1,0.2,182345,0.364285,82336,0.175803,0.199761,1502.681548,500613.0417,,,,0.010173,1.137389
5,1,0.25,171604,0.406148,71580,0.180264,0.236694,2875.198568,423675.2348,,,,0.115583,5.705855
5,1,0.3,156014,0.445135,55980,0.182748,0.285934,5092.951541,350966.7927,,,,0.164525,181.019193
5,1,0.31,156087,0.438677,56060,0.182438,0.282133,4590.330708,356858.5933,,,,0.178001,1874.460353
5,1,0.35,144993,0.448185,44958,0.182881,0.309699,8631.895444,324344.1797,,,,,
5,1,0.5,123796,0.502556,23745,0.183937,0.407103,14744.9197,246870.8378,,,,,
5,1,0.7,117494,0.575363,17435,0.182049,0.491065,17658.14465,205047.4246,,,,,
10,1,0.01,104106,0.010386,4106,0.010173,0.009977,1.137389,10023595.71,,,,,
10,1,0.1,158758,0.158787,58758,0.115583,0.100018,5.705855,999828.9317,,,,,
10,1,0.15,199529,0.29946,99518,0.164525,0.150082,181.019193,666305.9257,,,,,
10,1,0.19,204889,0.382596,104863,0.178001,0.186667,1874.460353,536071.301,,,,,
10,1,0.2,198957,0.391411,98917,0.17892,0.19664,6049.847928,508989.6877,,,,,
10,1,0.25,185280,0.430783,85219,0.182006,0.232643,6654.719149,430220.4163,,,,,
10,1,0.3,168254,0.45896,68168,0.183285,0.27322,12395.97332,366902.1263,,,,,
10,1,0.31,167191,0.467532,67119,0.183535,0.280286,10925.11799,357953.2572,,,,,
10,1,0.35,153592,0.48929,53500,0.183897,0.318749,11904.50252,314062.8871,,,,,
10,1,0.5,136586,0.515014,36461,0.183858,0.377959,14625.1306,266311.6383,,,,,
10,1,0.7,120607,0.586751,20476,0.181471,0.487738,17506.66214,206719.3158,,,,,
