Number of Stations, Mean Packet Duration, Packet Arrival Rate, Packet processed other stations, Packet processed station 1, Mean Delay other stations, Mean Delay Station 1, 
10,1,0.01,950144,49855,0.538612,1.062222, 
10,1,0.1,950066,49933,2.931892,2.083393, 
10,1,0.15,949688,50312,142.467934,3.015259, 
10,1,0.19,950152,49847,5307.338899,3.353499, 
10,1,0.2,949692,50308,13303.96646,3.324586, 
10,1,0.25,946658,53341,13203.42437,3.276279, 
10,1,0.3,945592,54408,32336.56117,3.123241, 
10,1,0.31,944361,55638,17259.06798,3.102511, 
10,1,0.35,945485,54515,28948.73237,3.034998, 
10,1,0.5,932766,67233,36777.03168,2.941613, 
10,1,0.7,920631,79368,60109.56442,2.841794, 
5,1,0.01,899957,100042,0.496947,1.0562, 
5,1,0.1,900014,99985,1.854798,1.827146, 
5,1,0.15,899902,100098,7.34814,2.470647, 
5,1,0.19,899828,100171,137.728532,2.906447, 
5,1,0.2,899706,100293,201.266529,2.949165, 
5,1,0.25,897774,102226,16585.15436,2.823316, 
5,1,0.3,895811,104188,9042.45528,2.831751, 
5,1,0.31,889239,110761,7492.073652,2.74068, 
5,1,0.35,892890,107109,32871.97954,2.743761, 
5,1,0.5,878188,121811,56424.92737,2.7665, 
5,1,0.7,841694,158305,65049.88559,2.864256, 
