Number of Stations, Mean Packet Duration, Packet Arrival Rate, Mean Backoff duration, Mean Delay, throughput, theo_throughput, G_per_X, servie_fraction, sim_time, 
5, 0.000000, 0.010000, 5.000000, 1.556284, 0.010018, 0.010007, 0.010109, 1.000000, 9982221.594688, 
5, 0.000000, 0.100000, 5.000000, 2.249531, 0.100175, 0.099327, 0.110986, 1.000000, 998256.526985, 
5, 0.000000, 0.150000, 5.000000, 2.822710, 0.150327, 0.148234, 0.176923, 1.000000, 665218.112659, 
5, 0.000000, 0.190000, 5.000000, 3.436968, 0.190029, 0.186322, 0.235890, 0.999990, 526240.044662, 
5, 0.000000, 0.200000, 5.000000, 3.675714, 0.200294, 0.196628, 0.253313, 0.999980, 499269.878329, 
5, 0.000000, 0.250000, 5.000000, 4.951510, 0.249928, 0.243480, 0.343159, 1.000000, 400117.302664, 
5, 0.000000, 0.300000, 5.000000, 7.446641, 0.299056, 0.289734, 0.458078, 0.999990, 334387.104666, 
5, 0.000000, 0.310000, 5.000000, 8.132881, 0.309546, 0.298771, 0.485499, 0.999970, 323054.484333, 
5, 0.000000, 0.350000, 5.000000, 13.140089, 0.349858, 0.333421, 0.619488, 0.999970, 285830.852667, 
5, 0.000000, 0.500000, 5.000000, 22577.312831, 0.407396, 0.357333, 1.260956, 0.816013, 245462.276334, 
5, 0.000000, 0.700000, 5.000000, 50879.650083, 0.408250, 0.338801, 1.462471, 0.583376, 244951.256334, 
10, 0.000000, 0.010000, 5.000000, 1.563230, 0.010022, 0.010023, 0.010125, 1.000000, 9977867.236687, 
10, 0.000000, 0.100000, 5.000000, 2.285304, 0.099939, 0.100161, 0.112036, 1.000000, 1000614.900985, 
10, 0.000000, 0.150000, 5.000000, 2.903348, 0.150261, 0.151330, 0.181435, 1.000000, 665511.364659, 
10, 0.000000, 0.190000, 5.000000, 3.529176, 0.189781, 0.191544, 0.244630, 0.999970, 526925.078662, 
10, 0.000000, 0.200000, 5.000000, 3.743610, 0.199795, 0.202157, 0.262962, 1.000000, 500518.036995, 
10, 0.000000, 0.250000, 5.000000, 5.184139, 0.249623, 0.255075, 0.368860, 1.000000, 400606.278664, 
10, 0.000000, 0.300000, 5.000000, 9.065601, 0.299544, 0.313197, 0.534500, 0.999990, 333842.016999, 
10, 0.000000, 0.310000, 5.000000, 3937.487211, 0.302160, 0.367638, 0.964171, 0.971534, 331382.106332, 
10, 0.000000, 0.350000, 5.000000, 33565.717331, 0.282936, 0.276058, 1.960183, 0.808911, 353437.128332, 
10, 0.000000, 0.500000, 5.000000, 76722.756799, 0.283111, 0.255156, 2.114878, 0.566633, 353218.692665, 
10, 0.000000, 0.700000, 5.000000, 105640.298410, 0.282605, 0.228542, 2.315781, 0.403421, 353853.626332, 
