Number of Stations, Mean Packet Duration, Packet Arrival Rate, Mean Backoff duration, Mean Delay, throughput, theo_throughput, G_per_X, servie_fraction, sim_time, 
5, 0.000000, 0.010000, 5.000000, 1.556284, 0.010018, 0.010007, 0.010109, 1.000000, 9982221.594688, 
5, 0.000000, 0.100000, 5.000000, 2.249531, 0.100175, 0.099327, 0.110986, 1.000000, 998256.526985, 
5, 0.000000, 0.150000, 5.000000, 2.822710, 0.150327, 0.148234, 0.176923, 1.000000, 665218.112659, 
5, 0.000000, 0.190000, 5.000000, 3.436968, 0.190029, 0.186322, 0.235890, 0.999990, 526240.044662, 
5, 0.000000, 0.200000, 5.000000, 3.675714, 0.200294, 0.196628, 0.253313, 0.999980, 499269.878329, 
5, 0.000000, 0.250000, 5.000000, 4.951510, 0.249928, 0.243480, 0.343159, 1.000000, 400117.302664, 
5, 0.000000, 0.300000, 5.000000, 7.446641, 0.299056, 0.289734, 0.458078, 0.999990, 334387.104666, 
5, 0.000000, 0.310000, 5.000000, 8.132881, 0.309546, 0.298771, 0.485499, 0.999970, 323054.484333, 
5, 0.000000, 0.350000, 5.000000, 13.140089, 0.349858, 0.333421, 0.619488, 0.999970, 285830.852667, 
5, 0.000000, 0.500000, 5.000000, 22577.312831, 0.407396, 0.357333, 1.260956, 0.816013, 245462.276334, 
5, 0.000000, 0.700000, 5.000000, 50879.650083, 0.408250, 0.338801, 1.462471, 0.583376, 244951.256334, 
10, 0.000000, 0.010000, 5.000000, 1.563230, 0.010022, 0.010023, 0.010125, 1.000000, 9977867.236687, 
10, 0.000000, 0.100000, 5.000000, 2.285304, 0.099939, 0.100161, 0.112036, 1.000000, 1000614.900985, 
10, 0.000000, 0.150000, 5.000000, 2.903348, 0.150261, 0.151330, 0.181435, 1.000000, 665511.364659, 
10, 0.000000, 0.190000, 5.000000, 3.529176, 0.189781, 0.191544, 0.244630, 0.999970, 526925.078662, 
10, 0.000000, 0.200000, 5.000000, 3.743610, 0.199795, 0.202157, 0.262962, 1.000000, 500518.036995, 
10, 0.000000, 0.250000, 5.000000, 5.184139, 0.249623, 0.255075, 0.368860, 1.000000, 400606.278664, 
10, 0.000000, 0.300000, 5.000000, 9.065601, 0.299544, 0.313197, 0.534500, 0.999990, 333842.016999, 
10, 0.000000, 0.310000, 5.000000, 3937.487211, 0.302160, 0.367638, 0.964171, 0.971534, 331382.106332, 
10, 0.000000, 0.350000, 5.000000, 33565.717331, 0.282936, 0.276058, 1.960183, 0.808911, 353437.128332, 
10, 0.000000, 0.500000, 5.000000, 76722.756799, 0.283111, 0.255156, 2.114878, 0.566633, 353218.692665, 
10, 0.000000, 0.700000, 5.000000, 105640.298410, 0.282605, 0.228542, 2.315781, 0.403421, 353853.626332, 
20, 0.000000, 0.010000, 5.000000, 1.566135, 0.010023, 0.010029, 0.010132, 1.000000, 9977026.558687, 
20, 0.000000, 0.100000, 5.000000, 2.322576, 0.100135, 0.101170, 0.113308, 1.000000, 998651.314652, 
20, 0.000000, 0.150000, 5.000000, 2.907662, 0.150040, 0.152518, 0.183178, 1.000000, 666487.646992, 
20, 0.000000, 0.190000, 5.000000, 3.590110, 0.189629, 0.194742, 0.250071, 1.000000, 527349.258662, 
20, 0.000000, 0.200000, 5.000000, 3.801722, 0.200369, 0.206378, 0.270476, 1.000000, 499080.834996, 
20, 0.000000, 0.250000, 5.000000, 132818.663341, 0.156616, 0.222323, 2.363962, 0.546822, 730306.696324, 
20, 0.000000, 0.300000, 5.000000, 323697.494861, 0.100492, 0.099025, 3.590747, 0.334962, 995159.343985, 
20, 0.000000, 0.310000, 5.000000, 340409.684385, 0.099377, 0.097359, 3.614233, 0.320841, 1006273.193985, 
20, 0.000000, 0.350000, 5.000000, 358918.004121, 0.099387, 0.094449, 3.656091, 0.283872, 1006175.999985, 
20, 0.000000, 0.500000, 5.000000, 404589.066304, 0.099120, 0.084382, 3.810039, 0.197964, 1008878.727985, 
20, 0.000000, 0.700000, 5.000000, 434676.118022, 0.098775, 0.072732, 4.009695, 0.141134, 1012406.101985, 
30, 0.000000, 0.010000, 5.000000, 1.568046, 0.010017, 0.010028, 0.010130, 1.000000, 9982785.720689, 
30, 0.000000, 0.100000, 5.000000, 2.320896, 0.100023, 0.101143, 0.113274, 1.000000, 999771.550651, 
30, 0.000000, 0.150000, 5.000000, 2.931338, 0.150161, 0.153348, 0.184400, 1.000000, 665951.576659, 
30, 0.000000, 0.190000, 5.000000, 3.596362, 0.190580, 0.196548, 0.253175, 1.000000, 524720.344328, 
30, 0.000000, 0.200000, 5.000000, 17184.253353, 0.139273, 0.274235, 1.973660, 0.640107, 780597.410323, 
30, 0.000000, 0.250000, 5.000000, 1421042.147970, 0.028188, 0.029525, 5.164273, 0.111657, 3583147.321879, 
30, 0.000000, 0.300000, 5.000000, 1782091.561662, 0.025341, 0.026915, 5.278751, 0.084434, 3946804.183829, 
30, 0.000000, 0.310000, 5.000000, 1822294.051040, 0.025103, 0.026631, 5.291852, 0.080954, 3983727.215824, 
30, 0.000000, 0.350000, 5.000000, 1858323.156306, 0.024982, 0.025742, 5.333682, 0.071363, 4002891.467821, 
30, 0.000000, 0.500000, 5.000000, 1906703.458475, 0.024938, 0.022775, 5.483903, 0.049886, 4009885.093820, 
30, 0.000000, 0.700000, 5.000000, 1932383.699099, 0.024944, 0.019310, 5.684938, 0.035617, 4009022.705820, 
